,polarization,avg_degree,num_states,color
231,6,11,1.0,1
232,6,12,1.0,1
233,6,13,1.0,1
234,6,14,1.0,1
235,6,15,1.0,1
236,6,16,1.0,1
237,6,17,1.0,1
238,6,18,1.0,1
239,6,19,1.0,1
240,6,20,1.0,1
241,6,21,1.0,1
242,6,22,1.0,1
243,6,23,1.0,1
244,6,24,1.0,1
245,6,25,1.0,1
246,6,26,1.0,1
247,6,27,1.0,1
248,6,28,1.0,1
249,6,29,1.0,1
250,6,30,1.0,1
251,6,31,1.0,1
252,6,32,1.0,1
253,6,33,1.0,1
254,6,34,1.0,1
255,6,35,1.0,1
256,6,36,1.0,1
257,6,37,1.0,1
258,6,38,1.0,1
259,6,39,1.0,1
260,6,40,1.0,1
261,6,41,2.0,1
262,6,42,1.0,1
263,6,43,1.0,1
264,6,44,1.0,1
265,6,45,1.0,1
266,6,46,1.0,1
267,6,47,1.0,1
268,6,48,1.0,1
269,6,49,1.0,1
270,7,5,1.0,1
271,7,6,1.0,1
272,7,7,1.0,1
273,7,8,1.0,1
274,7,9,1.0,1
275,7,10,1.0,1
276,7,11,1.0,1
277,7,12,1.0,1
278,7,13,1.0,1
279,7,14,1.0,1
280,7,15,1.0,1
281,7,16,1.0,1
282,7,17,1.0,1
283,7,18,1.0,1
284,7,19,1.0,1
285,7,20,1.0,1
286,7,21,1.0,1
287,7,22,2.0,1
288,7,23,1.0,1
289,7,24,1.0,1
290,7,25,1.0,1
291,7,26,1.0,1
292,7,27,1.0,1
293,7,28,1.0,1
294,7,29,1.0,1
295,7,30,1.0,1
296,7,31,1.0,1
297,7,32,1.0,1
298,7,33,1.0,1
299,7,34,1.0,1
300,7,35,1.0,1
301,7,36,1.0,1
302,7,37,1.0,1
303,7,38,1.0,1
304,7,39,1.0,1
305,7,40,1.0,1
306,7,41,1.0,1
307,7,42,1.0,1
308,7,43,1.0,1
309,7,44,1.0,1
310,7,45,1.0,1
311,7,46,1.0,1
312,7,47,1.0,1
313,7,48,1.0,1
314,7,49,1.0,1
315,8,5,1.0,1
316,8,6,1.0,1
317,8,7,1.0,1
318,8,8,1.0,1
319,8,9,1.0,1
320,8,10,1.0,1
321,8,11,1.0,1
322,8,12,1.0,1
323,8,13,1.0,1
324,8,14,1.0,1
325,8,15,1.0,1
326,8,16,1.0,1
327,8,17,2.0,1
328,8,18,1.0,1
329,8,19,1.0,1
330,8,20,1.0,1
331,8,21,1.0,1
332,8,22,1.0,1
333,8,23,1.0,1
334,8,24,1.0,1
335,8,25,1.0,1
336,8,26,1.0,1
337,8,27,1.0,1
338,8,28,1.0,1
339,8,29,1.0,1
340,8,30,1.0,1
341,8,31,1.0,1
342,8,32,1.0,1
343,8,33,1.0,1
344,8,34,1.0,1
345,8,35,1.0,1
346,8,36,1.0,1
347,8,37,1.0,1
348,8,38,1.0,1
349,8,39,1.0,1
350,8,40,1.0,1
351,8,41,1.0,1
352,8,42,1.0,1
353,8,43,1.0,1
354,8,44,1.0,1
355,8,45,1.0,1
356,8,46,1.0,1
357,8,47,1.0,1
358,8,48,1.0,1
359,8,49,1.0,1
360,9,5,1.0,1
361,9,6,1.0,1
362,9,7,1.0,1
363,9,8,1.0,1
364,9,9,2.0,1
365,9,10,1.0,1
366,9,11,1.0,1
367,9,12,1.0,1
368,9,13,1.0,1
369,9,14,1.0,1
370,9,15,1.0,1
371,9,16,1.0,1
372,9,17,1.0,1
373,9,18,1.0,1
374,9,19,1.0,1
375,9,20,1.0,1
376,9,21,1.0,1
377,9,22,1.0,1
378,9,23,1.0,1
379,9,24,1.0,1
380,9,25,1.0,1
381,9,26,1.0,1
382,9,27,1.0,1
383,9,28,1.0,1
384,9,29,1.0,1
385,9,30,1.0,1
386,9,31,1.0,1
387,9,32,1.0,1
388,9,33,1.0,1
389,9,34,1.0,1
390,9,35,1.0,1
391,9,36,1.0,1
392,9,37,1.0,1
393,9,38,1.0,1
394,9,39,1.0,1
395,9,40,1.0,1
396,9,41,1.0,1
397,9,42,1.0,1
398,9,43,1.0,1
399,9,44,1.0,1
400,9,45,1.0,1
401,9,46,1.0,1
402,9,47,1.0,1
403,9,48,1.0,1
404,9,49,1.0,1
405,10,5,2.0,1
406,10,6,1.0,1
407,10,7,1.0,1
408,10,8,1.0,1
409,10,9,1.0,1
410,10,10,1.0,1
411,10,11,1.0,1
412,10,12,1.0,1
413,10,13,1.0,1
414,10,14,1.0,1
415,10,15,1.0,1
416,10,16,1.0,1
417,10,17,1.0,1
418,10,18,2.0,1
419,10,19,1.0,1
420,10,20,1.0,1
421,10,21,1.0,1
422,10,22,1.0,1
423,10,23,2.0,1
424,10,24,1.0,1
425,10,25,1.0,1
426,10,26,1.0,1
427,10,27,1.0,1
428,10,28,1.0,1
429,10,29,1.0,1
430,10,30,1.0,1
431,10,31,1.0,1
432,10,32,1.0,1
433,10,33,1.0,1
434,10,34,1.0,1
435,10,35,1.0,1
436,10,36,2.0,1
437,10,37,1.0,1
438,10,38,1.0,1
439,10,39,1.0,1
440,10,40,1.0,1
441,10,41,1.0,1
442,10,42,1.0,1
443,10,43,2.0,1
444,10,44,1.0,1
445,10,45,1.0,1
446,10,46,2.0,1
447,10,47,1.0,1
448,10,48,2.0,1
449,10,49,1.0,1
450,11,5,1.0,1
451,11,6,1.0,1
452,11,7,1.0,1
453,11,8,1.0,1
454,11,9,1.0,1
455,11,10,1.0,1
456,11,11,1.0,1
457,11,12,1.0,1
458,11,13,1.0,1
459,11,14,2.0,1
460,11,15,1.0,1
461,11,16,1.0,1
